APY,APY_BASE,APY_REWARD,TVL,DATE
5.62088,5.62088,,252899665,2023-04-12T23:01:35.503Z
5.27667,5.27667,,270459507,2023-04-13T23:01:34.432Z
5.16048,5.16048,,290999260,2023-04-14T23:01:43.527Z
5.04176,5.04176,,290164748,2023-04-15T23:01:39.423Z
5.02414,5.02414,,299837543,2023-04-16T23:01:44.370Z
4.82348,4.82348,,305484568,2023-04-17T23:02:05.179Z
4.83073,4.83073,,310898926,2023-04-18T23:01:40.401Z
4.84494,4.84494,,297336596,2023-04-19T23:01:39.192Z
5.43381,5.43381,,295594309,2023-04-20T23:01:41.147Z
5.52319,5.52319,,285999976,2023-04-21T23:01:50.274Z
5.4778,5.4778,,292125540,2023-04-22T23:01:41.565Z
5.50067,5.50067,,290081501,2023-04-23T23:01:35.737Z
5.32666,5.32666,,292272712,2023-04-24T23:01:44.934Z
5.25233,5.25233,,300113787,2023-04-25T23:01:33.533Z
5.22588,5.22588,,304232583,2023-04-26T23:01:28.321Z
6.73075,6.73075,,313907218,2023-04-27T23:01:41.722Z
6.6607,6.6607,,314818545,2023-04-28T23:01:16.630Z
6.55325,6.55325,,319922152,2023-04-29T23:01:34.370Z
6.58589,6.58589,,320406416,2023-04-30T23:01:40.841Z
6.52938,6.52938,,308101783,2023-05-01T23:01:19.743Z
6.49793,6.49793,,318587653,2023-05-02T23:01:27.611Z
6.33828,6.33828,,331516226,2023-05-03T23:01:37.988Z
6.55008,6.55008,,333050341,2023-05-04T23:01:33.311Z
6.49471,6.49471,,357619954,2023-05-05T23:01:31.093Z
6.40247,6.40247,,344369091,2023-05-06T23:01:29.427Z
6.3715,6.3715,,347577688,2023-05-07T23:01:51.965Z
6.3804,6.3804,,336286135,2023-05-08T23:01:46.365Z
6.34732,6.34732,,338270153,2023-05-09T23:01:30.037Z
6.30296,6.30296,,341574652,2023-05-10T23:01:51.061Z
9.94933,9.94933,,333004890,2023-05-11T23:01:40.540Z
9.75667,9.75667,,338387736,2023-05-12T23:01:38.438Z
9.56609,9.56609,,341309643,2023-05-13T23:01:28.024Z
9.48866,9.48866,,343250996,2023-05-14T23:02:00.551Z
9.09782,9.09782,,352924988,2023-05-15T23:01:34.282Z
8.82519,8.82519,,359951973,2023-05-16T23:01:46.805Z
8.68532,8.68532,,367596990,2023-05-17T23:01:48.081Z
6.5289,6.5289,,369964514,2023-05-18T23:01:44.681Z
6.28327,6.28327,,380507259,2023-05-19T23:01:40.360Z
6.26797,6.26797,,383524486,2023-05-20T23:01:48.476Z
6.15612,6.15612,,387394044,2023-05-21T23:01:37.202Z
5.98252,5.98252,,393893874,2023-05-22T23:01:30.517Z
5.79306,5.79306,,406273839,2023-05-23T23:01:34.948Z
5.88197,5.88197,,402486381,2023-05-24T23:01:52.526Z
4.97118,4.97118,,410360969,2023-05-25T23:01:43.390Z
4.91624,4.91624,,417827248,2023-05-26T23:01:38.678Z
4.87911,4.87911,,419983660,2023-05-27T23:01:24.747Z
4.87142,4.87142,,437255038,2023-05-28T23:01:23.482Z
4.87058,4.87058,,434986620,2023-05-29T23:01:26.571Z
4.89387,4.89387,,439441148,2023-05-30T23:02:14.116Z
4.87264,4.87264,,433035222,2023-05-31T23:01:28.641Z
4.76599,4.76599,,433751187,2023-06-01T23:01:32.678Z
4.7217,4.7217,,445280512,2023-06-02T23:01:45.532Z
4.70803,4.70803,,442695918,2023-06-03T23:01:37.173Z
4.68319,4.68319,,447621813,2023-06-04T23:01:29.006Z
4.70164,4.70164,,426133645,2023-06-05T23:01:32.173Z
4.62616,4.62616,,445173621,2023-06-06T23:01:41.738Z
4.63459,4.63459,,433864707,2023-06-07T23:01:46.395Z
4.35662,4.35662,,440159097,2023-06-08T23:01:46.752Z
4.38546,4.38546,,438339240,2023-06-09T23:01:32.808Z
4.65341,4.65341,,394948385,2023-06-10T23:01:22.021Z
